Name,Tier,Size,Family,Series,vCPUs,MemoryGB,Generation,Architecture
Standard_A1_v2,Standard,A1_v2,EntryLevel,Av2,1,2,2,Intel
Standard_B1ls,Standard,B1ls,Burstable,BS,1,0.5,1,Intel
Standard_B1ms,Standard,B1ms,Burstable,BS,1,2,1,Intel
Standard_B1s,Standard,B1s,Burstable,BS,1,1,1,Intel
Standard_DC1ds_v3,Standard,DC1ds_v3,GeneralPurpose,DDCSv3,1,8,3,Intel
Standard_DC1s_v2,Standard,DC1s_v2,GeneralPurposeConfidential,DCSv2,1,4,2,Intel
Standard_DC1s_v3,Standard,DC1s_v3,GeneralPurposeConfidential,DCSv3,1,8,3,Intel
Standard_DS1,Standard,DS1,GeneralPurpose,DS,1,3.5,1,Intel
Standard_DS1_v2,Standard,DS1_v2,GeneralPurpose,DSv2,1,3.5,2,Intel
Standard_F1,Standard,F1,ComputeOptimized,F,1,2,1,Intel
Standard_F1ads_v7,Standard,F1ads_v7,ComputeOptimized,Fadsv7,1,4,7,AMD
Standard_F1alds_v7,Standard,F1alds_v7,ComputeOptimized,Faldsv7,1,2,7,AMD
Standard_F1als_v7,Standard,F1als_v7,ComputeOptimized,Falsv7,1,2,7,AMD
Standard_F1amds_v7,Standard,F1amds_v7,ComputeOptimized,Famdsv7,1,8,7,AMD
Standard_F1ams_v7,Standard,F1ams_v7,ComputeOptimized,Famsv7,1,8,7,AMD
Standard_F1as_v7,Standard,F1as_v7,ComputeOptimized,Fasv7,1,4,7,AMD
Standard_F1s,Standard,F1s,ComputeOptimized,FS,1,2,1,Intel
Standard_G1,Standard,G1,MemoryStorageOptimized,G,2,28,1,Intel
Standard_GS1,Standard,GS1,MemoryStorageOptimized,GS,2,28,1,Intel
Standard_A2m_v2,Standard,A2m_v2,EntryLevel,Av2,2,16,2,Intel
Standard_A2_v2,Standard,A2_v2,EntryLevel,Av2,2,4,2,Intel
Standard_B2als_v2,Standard,B2als_v2,Burstable,Basv2,2,4,2,AMD
Standard_B2as_v2,Standard,B2as_v2,Burstable,Basv2,2,8,2,AMD
Standard_B2ats_v2,Standard,B2ats_v2,Burstable,Basv2,2,1,2,AMD
